question,answer,category
Có bao nhiêu sản phẩm trong cơ sở dữ liệu?,Có 3868 sản phẩm khác nhau trong cơ sở dữ liệu của chúng tôi.,Thông tin sản phẩm
Tổng số khách hàng là bao nhiêu?,Chúng tôi có dữ liệu về 4338 khách hàng duy nhất.,Chi tiết sản phẩm
Có bao nhiêu giao dịch được ghi nhận trong hệ thống?,Cơ sở dữ liệu chứa 18532 giao dịch duy nhất.,Chi tiết sản phẩm
Trung bình mỗi giao dịch có bao nhiêu sản phẩm?,"Trung bình, mỗi giao dịch chứa 21.00 sản phẩm.",Hành vi khách hàng
Cho tôi biết về thống kê chung của cửa hàng,"Cửa hàng của chúng tôi có 3868 sản phẩm duy nhất, 4338 khách hàng, và 18532 giao dịch được ghi nhận. Trung bình, khách hàng mua 21.00 sản phẩm mỗi giao dịch.",Sản phẩm mua kèm
Sản phẩm bán chạy nhất là gì?,"Sản phẩm bán chạy nhất là 'PAPER CRAFT , LITTLE BIRDIE' với 80995 đơn vị đã bán.",Thông tin doanh nghiệp
5 sản phẩm phổ biến nhất là gì?,"5 sản phẩm phổ biến nhất theo số lượng bán ra là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị), 'JUMBO BAG RED RETROSPOT' (46181 đơn vị), 'WHITE HANGING HEART T-LIGHT HOLDER' (36725 đơn vị)",Chi tiết sản phẩm
Sản phẩm nào bán được nhiều nhất?,"Các sản phẩm bán chạy nhất của chúng tôi là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị)",Chi tiết sản phẩm
Tháng nào có doanh số cao nhất?,Tháng có doanh số cao nhất là Tháng 11 với doanh thu £1161817.38.,Phân tích bán hàng
Tháng nào có doanh số thấp nhất?,Tháng có doanh số thấp nhất là Tháng 2 với doanh thu £447137.35.,Đề xuất sản phẩm
Xu hướng doanh thu hàng tháng như thế nào?,Doanh thu hàng tháng cho thấy xu hướng tăng với doanh thu cao nhất là £1161817.38 trong Tháng 11 và thấp nhất là £447137.35 trong Tháng 2.,Phân tích bán hàng
Tần suất mua hàng trung bình của mỗi khách hàng là bao nhiêu?,"Trung bình, khách hàng thực hiện 4.27 lần mua hàng.",Chi tiết sản phẩm
Một khách hàng trung bình chi tiêu bao nhiêu?,Khách hàng trung bình chi tiêu £2054.27 tổng cộng cho tất cả các lần mua hàng.,Chi tiết sản phẩm
Một khách hàng thường mua bao nhiêu sản phẩm khác nhau?,Một khách hàng điển hình mua 61.83 sản phẩm khác nhau.,Đề xuất sản phẩm
Quốc gia nào có nhiều khách hàng nhất?,Quốc gia có nhiều khách hàng nhất là United Kingdom với 16646 lượt mua hàng.,Phân tích bán hàng
Quốc gia nào đặt hàng nhiều nhất?,Quốc gia đặt hàng nhiều nhất là United Kingdom với tổng cộng 16646 đơn hàng.,Thống kê chung
Quốc gia nào đặt hàng ít nhất?,Quốc gia đặt hàng ít nhất là Switzerland với chỉ 51 đơn hàng.,Hành vi khách hàng
Quốc gia nào có giá trị đơn hàng trung bình cao nhất?,Quốc gia có giá trị đơn hàng trung bình cao nhất là Singapore với giá trị trung bình là £3039.90 cho mỗi đơn hàng.,Thống kê chung
Thị trường lớn nhất của chúng tôi là gì?,"Thị trường lớn nhất của chúng tôi là United Kingdom, chiếm một phần đáng kể trong tổng số đơn hàng với 16646 lượt mua.",Thông tin doanh nghiệp
Chi tiêu của khách hàng phân bố như thế nào?,"Chi tiêu của khách hàng được phân bố như sau: 0-100: 155 khách hàng, 100-500: 1606 khách hàng, 500-1000: 909 khách hàng, 1000-5000: 1393 khách hàng, 5000+: 275 khách hàng",Sản phẩm mua kèm
Tần suất mua hàng phổ biến nhất là gì?,Tần suất mua hàng phổ biến nhất là 1 lần mua hàng mỗi khách hàng.,Thông tin sản phẩm
Cho tôi biết về hành vi mua sắm của khách hàng,"Hầu hết khách hàng của chúng tôi đến từ United Kingdom. Trung bình, khách hàng thực hiện 4.27 lần mua hàng và chi tiêu tổng cộng £2054.27. Họ thường mua 61.83 sản phẩm khác nhau.",Phân tích bán hàng
Quốc gia nào mua sắm nhiều nhất?,United Kingdom là quốc gia mua sắm nhiều nhất với 16646 đơn hàng. Singapore là quốc gia có giá trị đơn hàng trung bình cao nhất (£3039.90).,Thống kê chung
Những sản phẩm nào thường được mua cùng nhau?,"Các sản phẩm thường được mua cùng nhau bao gồm: JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT (hỗ trợ: 0.0296).",Thống kê chung
Kết hợp sản phẩm phổ biến nhất là gì?,"Kết hợp sản phẩm phổ biến nhất là: JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT.",Phân tích bán hàng
Cho tôi biết về mối liên hệ giữa các sản phẩm,"Phân tích của chúng tôi cho thấy một số kết hợp sản phẩm thường xuyên được mua cùng nhau. Mối liên hệ mạnh nhất là cho: JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT với giá trị hỗ trợ là 0.0296.",Thông tin doanh nghiệp
Những sản phẩm nào thường được mua cùng với WHITE HANGING HEART T-LIGHT HOLDER?,"Khi khách hàng mua 'WHITE HANGING HEART T-LIGHT HOLDER', họ thường mua kèm theo các sản phẩm như: RED HANGING HEART T-LIGHT HOLDER, SET OF 6 T-LIGHTS và GLASS STAR FROSTED T-LIGHT HOLDER. Đây là các sản phẩm bổ sung nhau về chức năng hoặc phong cách thiết kế.",Thống kê chung
"Nếu tôi muốn mua WHITE HANGING HEART T-LIGHT HOLDER, bạn sẽ đề xuất thêm gì?","Nếu bạn quan tâm đến 'WHITE HANGING HEART T-LIGHT HOLDER', tôi đề xuất bạn xem thêm các sản phẩm bổ sung như: GLASS STAR FROSTED T-LIGHT HOLDER, GLASS STAR FROSTED T-LIGHT HOLDER và SET OF 6 T-LIGHTS. Những sản phẩm này thường được mua cùng nhau và tạo thành một bộ sưu tập hoàn chỉnh.",Thông tin sản phẩm
Những sản phẩm nào thường được mua cùng với REGENCY CAKESTAND 3 TIER?,"Khi khách hàng mua 'REGENCY CAKESTAND 3 TIER', họ thường mua kèm theo các sản phẩm như: RED HANGING HEART T-LIGHT HOLDER, SET OF 6 T-LIGHTS và GLASS STAR FROSTED T-LIGHT HOLDER. Đây là các sản phẩm bổ sung nhau về chức năng hoặc phong cách thiết kế.",Thống kê theo quốc gia
"Nếu tôi muốn mua REGENCY CAKESTAND 3 TIER, bạn sẽ đề xuất thêm gì?","Nếu bạn quan tâm đến 'REGENCY CAKESTAND 3 TIER', tôi đề xuất bạn xem thêm các sản phẩm bổ sung như: GLASS STAR FROSTED T-LIGHT HOLDER, GLASS STAR FROSTED T-LIGHT HOLDER và SET OF 6 T-LIGHTS. Những sản phẩm này thường được mua cùng nhau và tạo thành một bộ sưu tập hoàn chỉnh.",Thông tin sản phẩm
Những sản phẩm nào thường được mua cùng với JUMBO BAG RED RETROSPOT?,"Khi khách hàng mua 'JUMBO BAG RED RETROSPOT', họ thường mua kèm theo các sản phẩm như: RED HANGING HEART T-LIGHT HOLDER, SET OF 6 T-LIGHTS và GLASS STAR FROSTED T-LIGHT HOLDER. Đây là các sản phẩm bổ sung nhau về chức năng hoặc phong cách thiết kế.",Phân tích bán hàng
"Nếu tôi muốn mua JUMBO BAG RED RETROSPOT, bạn sẽ đề xuất thêm gì?","Nếu bạn quan tâm đến 'JUMBO BAG RED RETROSPOT', tôi đề xuất bạn xem thêm các sản phẩm bổ sung như: GLASS STAR FROSTED T-LIGHT HOLDER, GLASS STAR FROSTED T-LIGHT HOLDER và SET OF 6 T-LIGHTS. Những sản phẩm này thường được mua cùng nhau và tạo thành một bộ sưu tập hoàn chỉnh.",Thống kê chung
Những sản phẩm nào thường được mua cùng với PARTY BUNTING?,"Khi khách hàng mua 'PARTY BUNTING', họ thường mua kèm theo các sản phẩm như: RED HANGING HEART T-LIGHT HOLDER, SET OF 6 T-LIGHTS và GLASS STAR FROSTED T-LIGHT HOLDER. Đây là các sản phẩm bổ sung nhau về chức năng hoặc phong cách thiết kế.",Sản phẩm mua kèm
"Nếu tôi muốn mua PARTY BUNTING, bạn sẽ đề xuất thêm gì?","Nếu bạn quan tâm đến 'PARTY BUNTING', tôi đề xuất bạn xem thêm các sản phẩm bổ sung như: GLASS STAR FROSTED T-LIGHT HOLDER, GLASS STAR FROSTED T-LIGHT HOLDER và SET OF 6 T-LIGHTS. Những sản phẩm này thường được mua cùng nhau và tạo thành một bộ sưu tập hoàn chỉnh.",Thống kê theo quốc gia
Những sản phẩm nào thường được mua cùng với SET OF 3 CAKE TINS PANTRY DESIGN?,"Khi khách hàng mua 'SET OF 3 CAKE TINS PANTRY DESIGN', họ thường mua kèm theo các sản phẩm như: RED HANGING HEART T-LIGHT HOLDER, SET OF 6 T-LIGHTS và GLASS STAR FROSTED T-LIGHT HOLDER. Đây là các sản phẩm bổ sung nhau về chức năng hoặc phong cách thiết kế.",Hành vi khách hàng
"Nếu tôi muốn mua SET OF 3 CAKE TINS PANTRY DESIGN, bạn sẽ đề xuất thêm gì?","Nếu bạn quan tâm đến 'SET OF 3 CAKE TINS PANTRY DESIGN', tôi đề xuất bạn xem thêm các sản phẩm bổ sung như: GLASS STAR FROSTED T-LIGHT HOLDER, GLASS STAR FROSTED T-LIGHT HOLDER và SET OF 6 T-LIGHTS. Những sản phẩm này thường được mua cùng nhau và tạo thành một bộ sưu tập hoàn chỉnh.",Hành vi khách hàng
Bạn có những đề xuất sản phẩm nào?,"Dựa trên mô hình mua sắm, khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES , họ có khả năng 93.9% sẽ mua thêm REGENCY TEA PLATE GREEN .",Thông tin sản phẩm
Đâu là những mối liên hệ sản phẩm mạnh nhất?,"Mối liên hệ mạnh nhất là giữa REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  và REGENCY TEA PLATE GREEN  với độ tin cậy 93.9% và hệ số nâng cao 64.15.",Phân tích bán hàng
Bạn có thể đề xuất sản phẩm dựa trên lịch sử mua hàng không?,"Vâng, dựa trên phân tích mối liên hệ, chúng tôi có thể đề xuất các sản phẩm liên quan. Ví dụ, khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  thường mua thêm REGENCY TEA PLATE GREEN .",Chi tiết sản phẩm
"Khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES , họ thường mua gì kèm theo?","Khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES , họ có khả năng 93.9% sẽ mua thêm REGENCY TEA PLATE GREEN . Mối liên hệ này có hệ số nâng cao là 64.15, cho thấy đây là một kết hợp có ý nghĩa thống kê.",Đề xuất sản phẩm
"Khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE GREEN , họ thường mua gì kèm theo?","Khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE GREEN , họ có khả năng 91.6% sẽ mua thêm REGENCY TEA PLATE ROSES . Mối liên hệ này có hệ số nâng cao là 51.50, cho thấy đây là một kết hợp có ý nghĩa thống kê.",Thống kê chung
"Khi khách hàng mua POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM , họ thường mua gì kèm theo?","Khi khách hàng mua POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM , họ có khả năng 90.7% sẽ mua thêm POPPY'S PLAYHOUSE KITCHEN. Mối liên hệ này có hệ số nâng cao là 48.37, cho thấy đây là một kết hợp có ý nghĩa thống kê.",Hành vi khách hàng
Cho tôi biết chi tiết về sản phẩm WHITE HANGING HEART T-LIGHT HOLDER,"Sản phẩm 'WHITE HANGING HEART T-LIGHT HOLDER' có giá £2.95 và là một trong những sản phẩm phổ biến của chúng tôi. Giá đỡ nến treo hình trái tim màu trắng, tạo không gian ấm cúng. Sản phẩm này thường được mua cùng với các sản phẩm tương tự về phong cách.",Đề xuất sản phẩm
Giá của WHITE HANGING HEART T-LIGHT HOLDER là bao nhiêu?,Giá của 'WHITE HANGING HEART T-LIGHT HOLDER' là £2.95.,Thống kê theo quốc gia
WHITE HANGING HEART T-LIGHT HOLDER có đặc điểm gì?,"'WHITE HANGING HEART T-LIGHT HOLDER' có những đặc điểm sau: Giá đỡ nến treo hình trái tim màu trắng, tạo không gian ấm cúng.",Hành vi khách hàng
Những sản phẩm nào tương tự WHITE HANGING HEART T-LIGHT HOLDER?,"Các sản phẩm tương tự 'WHITE HANGING HEART T-LIGHT HOLDER' bao gồm các phụ kiện trang trí và đồ dùng nhà cửa cùng phong cách. Khách hàng thường quan tâm đến các sản phẩm bổ sung như đèn nến, đồ trang trí retro và các phụ kiện tiệc.",Thống kê theo quốc gia
Cho tôi biết chi tiết về sản phẩm REGENCY CAKESTAND 3 TIER,"Sản phẩm 'REGENCY CAKESTAND 3 TIER' có giá £12.75 và là một trong những sản phẩm phổ biến của chúng tôi. Kệ bánh 3 tầng phong cách hoàng gia, lý tưởng cho tiệc trà chiều. Sản phẩm này thường được mua cùng với các sản phẩm tương tự về phong cách.",Phân tích bán hàng
Giá của REGENCY CAKESTAND 3 TIER là bao nhiêu?,Giá của 'REGENCY CAKESTAND 3 TIER' là £12.75.,Thống kê theo quốc gia
REGENCY CAKESTAND 3 TIER có đặc điểm gì?,"'REGENCY CAKESTAND 3 TIER' có những đặc điểm sau: Kệ bánh 3 tầng phong cách hoàng gia, lý tưởng cho tiệc trà chiều.",Phân tích bán hàng
Những sản phẩm nào tương tự REGENCY CAKESTAND 3 TIER?,"Các sản phẩm tương tự 'REGENCY CAKESTAND 3 TIER' bao gồm các phụ kiện trang trí và đồ dùng nhà cửa cùng phong cách. Khách hàng thường quan tâm đến các sản phẩm bổ sung như đèn nến, đồ trang trí retro và các phụ kiện tiệc.",Thống kê theo quốc gia
Cho tôi biết chi tiết về sản phẩm JUMBO BAG RED RETROSPOT,"Sản phẩm 'JUMBO BAG RED RETROSPOT' có giá £1.95 và là một trong những sản phẩm phổ biến của chúng tôi. Túi đựng cỡ lớn với họa tiết chấm đỏ phong cách retro, chất liệu bền. Sản phẩm này thường được mua cùng với các sản phẩm tương tự về phong cách.",Sản phẩm mua kèm
Giá của JUMBO BAG RED RETROSPOT là bao nhiêu?,Giá của 'JUMBO BAG RED RETROSPOT' là £1.95.,Thông tin doanh nghiệp
JUMBO BAG RED RETROSPOT có đặc điểm gì?,"'JUMBO BAG RED RETROSPOT' có những đặc điểm sau: Túi đựng cỡ lớn với họa tiết chấm đỏ phong cách retro, chất liệu bền.",Hành vi khách hàng
Những sản phẩm nào tương tự JUMBO BAG RED RETROSPOT?,"Các sản phẩm tương tự 'JUMBO BAG RED RETROSPOT' bao gồm các phụ kiện trang trí và đồ dùng nhà cửa cùng phong cách. Khách hàng thường quan tâm đến các sản phẩm bổ sung như đèn nến, đồ trang trí retro và các phụ kiện tiệc.",Phân tích bán hàng
Cho tôi biết chi tiết về sản phẩm PARTY BUNTING,"Sản phẩm 'PARTY BUNTING' có giá £4.95 và là một trong những sản phẩm phổ biến của chúng tôi. Dây cờ đuôi nheo nhiều màu sắc để trang trí tiệc, dài 10m. Sản phẩm này thường được mua cùng với các sản phẩm tương tự về phong cách.",Thông tin doanh nghiệp
Giá của PARTY BUNTING là bao nhiêu?,Giá của 'PARTY BUNTING' là £4.95.,Hành vi khách hàng
PARTY BUNTING có đặc điểm gì?,"'PARTY BUNTING' có những đặc điểm sau: Dây cờ đuôi nheo nhiều màu sắc để trang trí tiệc, dài 10m.",Thông tin sản phẩm
Những sản phẩm nào tương tự PARTY BUNTING?,"Các sản phẩm tương tự 'PARTY BUNTING' bao gồm các phụ kiện trang trí và đồ dùng nhà cửa cùng phong cách. Khách hàng thường quan tâm đến các sản phẩm bổ sung như đèn nến, đồ trang trí retro và các phụ kiện tiệc.",Thống kê chung
Cho tôi biết chi tiết về sản phẩm SET OF 3 CAKE TINS PANTRY DESIGN,"Sản phẩm 'SET OF 3 CAKE TINS PANTRY DESIGN' có giá £4.95 và là một trong những sản phẩm phổ biến của chúng tôi. Bộ 3 hộp đựng bánh với thiết kế kho thực phẩm, kích cỡ khác nhau. Sản phẩm này thường được mua cùng với các sản phẩm tương tự về phong cách.",Thông tin doanh nghiệp
Giá của SET OF 3 CAKE TINS PANTRY DESIGN là bao nhiêu?,Giá của 'SET OF 3 CAKE TINS PANTRY DESIGN' là £4.95.,Thông tin sản phẩm
SET OF 3 CAKE TINS PANTRY DESIGN có đặc điểm gì?,"'SET OF 3 CAKE TINS PANTRY DESIGN' có những đặc điểm sau: Bộ 3 hộp đựng bánh với thiết kế kho thực phẩm, kích cỡ khác nhau.",Hành vi khách hàng
Những sản phẩm nào tương tự SET OF 3 CAKE TINS PANTRY DESIGN?,"Các sản phẩm tương tự 'SET OF 3 CAKE TINS PANTRY DESIGN' bao gồm các phụ kiện trang trí và đồ dùng nhà cửa cùng phong cách. Khách hàng thường quan tâm đến các sản phẩm bổ sung như đèn nến, đồ trang trí retro và các phụ kiện tiệc.",Đề xuất sản phẩm
Làm thế nào để tìm kiếm sản phẩm?,Bạn có thể tìm kiếm sản phẩm bằng thanh tìm kiếm ở đầu trang cửa hàng. Nhập từ khóa liên quan đến sản phẩm bạn đang tìm kiếm.,Thông tin sản phẩm
Hệ thống đề xuất sản phẩm hoạt động như thế nào?,"Đề xuất sản phẩm của chúng tôi dựa trên khai thác luật kết hợp, phân tích các mẫu trong lịch sử mua hàng của khách hàng. Chúng tôi xác định các sản phẩm thường được mua cùng nhau.",Đề xuất sản phẩm
Dữ liệu nào đang được phân tích?,"Chúng tôi phân tích dữ liệu giao dịch bao gồm thông tin sản phẩm, số lượng, giá cả, thông tin khách hàng và ngày mua hàng để xác định các mô hình và xu hướng.",Phân tích bán hàng
Dữ liệu có độ mới như thế nào?,"Phân tích dựa trên bộ dữ liệu Bán lẻ Trực tuyến, bao gồm các giao dịch từ tháng 12 năm 2010.",Phân tích bán hàng
Làm thế nào để biết về các xu hướng mua sắm theo quốc gia?,Chúng tôi có phân tích theo quốc gia cho thấy United Kingdom là thị trường lớn nhất với 16646 đơn hàng. Khách hàng từ Singapore có giá trị đơn hàng trung bình cao nhất (£3039.90).,Sản phẩm mua kèm
Tôi có thể xem chi tiết sản phẩm khi nào?,"Bạn có thể xem chi tiết sản phẩm bất kỳ lúc nào bằng cách nhấp vào hình ảnh hoặc tên sản phẩm trên trang chủ hoặc trang kết quả tìm kiếm. Chi tiết bao gồm mô tả, giá cả, và các sản phẩm thường được mua cùng.",Thống kê chung
Trung bình mỗi giao dịch có bao nhiêu sản phẩm?,"Trung bình, mỗi giao dịch chứa 21.00 sản phẩm.",Đề xuất sản phẩm
Hàng hóa bán chạy nhất vậy?,"Sản phẩm bán chạy nhất là 'PAPER CRAFT , LITTLE BIRDIE' với 80995 đơn vị đã bán.",Thống kê theo quốc gia
5 sản phẩm phổ biến nhất vậy?,"5 sản phẩm phổ biến nhất theo số lượng bán ra là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị), 'JUMBO BAG RED RETROSPOT' (46181 đơn vị), 'WHITE HANGING HEART T-LIGHT HOLDER' (36725 đơn vị)",Hành vi khách hàng
Hàng hóa nào bán được nhiều nhất?,"Các sản phẩm bán chạy nhất của chúng tôi là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị)",Thống kê chung
Tháng nào có doanh số cao nhất?,Tháng có doanh số cao nhất là Tháng 11 với doanh thu £1161817.38.,Thống kê theo quốc gia
Tháng nào có doanh số thấp nhất?,Tháng có doanh số thấp nhất là Tháng 2 với doanh thu £447137.35.,Thống kê chung
Tần suất mua hàng thông thường của mỗi khách hàng là bao nhiêu?,"Trung bình, khách hàng thực hiện 4.27 lần mua hàng.",Phân tích bán hàng
Một khách hàng thông thường chi tiêu bao nhiêu?,Khách hàng trung bình chi tiêu £2054.27 tổng cộng cho tất cả các lần mua hàng.,Thống kê chung
Quốc gia nào có nhiều khách hàng nhất?,Quốc gia có nhiều khách hàng nhất là United Kingdom với 16646 lượt mua hàng.,Thống kê theo quốc gia
Quốc gia nào đặt hàng nhiều nhất?,Quốc gia đặt hàng nhiều nhất là United Kingdom với tổng cộng 16646 đơn hàng.,Phân tích bán hàng
Nước nào đặt hàng phổ biến nhất?,Quốc gia đặt hàng nhiều nhất là United Kingdom với tổng cộng 16646 đơn hàng.,Sản phẩm mua kèm
Quốc gia nào đặt hàng ít nhất?,Quốc gia đặt hàng ít nhất là Switzerland với chỉ 51 đơn hàng.,Thống kê chung
Quốc gia nào có giá trị đơn hàng trung bình cao nhất?,Quốc gia có giá trị đơn hàng trung bình cao nhất là Singapore với giá trị trung bình là £3039.90 cho mỗi đơn hàng.,Hành vi khách hàng
Quốc gia nào có giá trị đơn hàng thông thường cao nhất?,Quốc gia có giá trị đơn hàng trung bình cao nhất là Singapore với giá trị trung bình là £3039.90 cho mỗi đơn hàng.,Thông tin doanh nghiệp
Thị trường lớn nhất của chúng tôi vậy?,"Thị trường lớn nhất của chúng tôi là United Kingdom, chiếm một phần đáng kể trong tổng số đơn hàng với 16646 lượt mua.",Thống kê chung
Tần suất mua hàng phổ biến nhất vậy?,Tần suất mua hàng phổ biến nhất là 1 lần mua hàng mỗi khách hàng.,Đề xuất sản phẩm
Quốc gia nào mua sắm nhiều nhất?,United Kingdom là quốc gia mua sắm nhiều nhất với 16646 đơn hàng. Singapore là quốc gia có giá trị đơn hàng trung bình cao nhất (£3039.90).,Thông tin doanh nghiệp
Nước nào mua sắm phổ biến nhất?,United Kingdom là quốc gia mua sắm nhiều nhất với 16646 đơn hàng. Singapore là quốc gia có giá trị đơn hàng trung bình cao nhất (£3039.90).,Hành vi khách hàng
Kết hợp sản phẩm phổ biến nhất vậy?,"Kết hợp sản phẩm phổ biến nhất là: JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT.",Chi tiết sản phẩm
Đâu là những mối liên hệ sản phẩm mạnh nhất?,"Mối liên hệ mạnh nhất là giữa REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  và REGENCY TEA PLATE GREEN  với độ tin cậy 93.9% và hệ số nâng cao 64.15.",Thống kê theo quốc gia
Bạn có thể cho tôi biết những hiểu biết sâu sắc về doanh nghiệp của chúng tôi?,"Dựa trên phân tích dữ liệu, tôi có thể chia sẻ một số hiểu biết sâu sắc: 1) Chúng tôi có 3868 sản phẩm duy nhất và 4338 khách hàng. 2) Sản phẩm phổ biến nhất của chúng tôi là 'PAPER CRAFT , LITTLE BIRDIE'. 3) Khách hàng thường mua 61.8 sản phẩm khác nhau. 4) Mối liên hệ sản phẩm mạnh nhất của chúng tôi là giữa REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  và REGENCY TEA PLATE GREEN . 5) United Kingdom là thị trường lớn nhất của chúng tôi với 16646 đơn hàng.",Chi tiết sản phẩm
Làm thế nào để tăng doanh số bán hàng?,"Dựa trên phân tích dữ liệu, bạn có thể cân nhắc: 1) Tạo các gói sản phẩm thường xuyên liên kết với nhau như REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  và REGENCY TEA PLATE GREEN . 2) Tập trung nỗ lực tiếp thị vào Tháng 11 khi doanh số cao nhất. 3) Nhắm mục tiêu vào khách hàng từ United Kingdom nơi chúng tôi có nhiều lượt mua hàng nhất. 4) Quảng bá sản phẩm bán chạy nhất của chúng tôi 'PAPER CRAFT , LITTLE BIRDIE'.",Thông tin sản phẩm
Tình hình kinh doanh của chúng tôi như thế nào?,"Doanh nghiệp cho thấy các chỉ số tích cực với 18532 giao dịch từ 4338 khách hàng. Doanh thu đạt đỉnh vào Tháng 11. Tần suất mua hàng trung bình là 4.3 cho thấy lòng trung thành của khách hàng, mặc dù có thể còn cơ hội để tăng số lượng mua hàng lặp lại. United Kingdom là thị trường lớn nhất với 16646 đơn hàng.",Thông tin sản phẩm
Những thông tin thống kê nào về các quốc gia mua hàng?,"Dựa trên phân tích dữ liệu, United Kingdom là quốc gia có nhiều đơn hàng nhất với 16646 giao dịch. Trong khi đó, Switzerland có ít đơn hàng nhất với chỉ 51 giao dịch. Khách hàng từ Singapore có giá trị đơn hàng trung bình cao nhất, khoảng £3039.90 mỗi đơn.",Thông tin doanh nghiệp
Mẫu hình mua sắm nào phổ biến nhất?,"Mẫu hình mua sắm phổ biến nhất là khi khách hàng mua REGENCY TEA PLATE PINK, REGENCY TEA PLATE ROSES  họ có xu hướng mua thêm REGENCY TEA PLATE GREEN  với độ tin cậy 93.9%. Ngoài ra, kết hợp sản phẩm phổ biến nhất là JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT với giá trị hỗ trợ 0.0296, cho thấy tỷ lệ đáng kể giao dịch chứa các sản phẩm này.",Thông tin sản phẩm
